la	-6.24936	2.68284	0.345794	-4.19599	5.38531	-0.556658	4.30447	1.86407	-0.451423	-0.204697	-1.97645	-0.0740079	-0.664724	0.306336	-0.809945	-0.596365	-1.02584	-0.293022	-0.369491	-0.419497	1.15399	-0.33232	0.234512	-0.272486	0.308563	-0.120981	0.732851	-0.019956	0.00729602	0.429608	0.682006	-0.633672	-0.158474	0.132806	-0.4506	-0.092297	-0.09108	-0.271245	-0.364041	0.608991	0.36119	-0.326641	0.23728	0.249625	-0.291361	-0.188738	0.122818	-0.132185	-0.028402	0.379219	-0.212561	0.280809	-0.101797	0.027569	0.200194	-0.229946	0.021953	-0.414226	0.11186	0.099636	-0.414249	-0.157118	0.002027	0.241134	0.263039	-0.195301	-0.029647	-0.021339	-0.369729	0.03468	-0.090091	-0.281933	0.072915	-0.052557	0.148085	0.285236	-0.004532	-0.264107	-0.168459	0.247449	0.050149	-0.022407	0.335573	-0.32581	-0.024051	-0.127264	0.004816	0.121163	-0.074607	0.220435	0.159961	-0.012929	-0.220393	0.239367	0.093223	0.18903	-0.030777	-0.056265	0.033448	-0.06057	
tercera	-9.13545	3.42028	0.445198	-5.20975	6.89358	-0.972311	5.463	2.58147	-0.630502	-0.37027	-2.61227	-0.00728295	-0.875788	0.454046	-1.11955	-0.820942	-1.3677	-0.447942	-0.489142	-0.613092	1.56184	-0.512179	0.288667	-0.301077	0.380084	-0.219932	1.01721	-0.046984	-0.01558	0.60391	0.852845	-0.856057	-0.202211	0.161484	-0.570163	-0.127892	-0.081622	-0.356999	-0.481967	0.848417	0.446998	-0.425199	0.308874	0.336551	-0.412468	-0.227473	0.186954	-0.198582	-0.032665	0.526402	-0.245305	0.396418	-0.129782	0.018987	0.2512	-0.308679	0.023625	-0.545673	0.168632	0.158313	-0.561639	-0.214914	-0.00658201	0.330465	0.331639	-0.256925	-0.030969	-0.028125	-0.518237	0.043314	-0.102728	-0.392305	0.073007	-0.083004	0.188725	0.401338	-0.00189899	-0.371662	-0.21689	0.360394	0.061339	-0.034859	0.458278	-0.453336	-0.037857	-0.172869	-0.005123	0.178631	-0.096914	0.295707	0.217808	-0.010467	-0.294324	0.324975	0.139189	0.257942	-0.049472	-0.058799	0.049586	-0.092805	
caja	-12.027	4.11205	0.528174	-6.22224	8.36776	-1.37494	6.61488	3.30274	-0.755069	-0.51017	-3.28856	0.0699461	-1.0926	0.622749	-1.36845	-0.993727	-1.76172	-0.627752	-0.522948	-0.844037	1.96292	-0.731894	0.385415	-0.329784	0.483201	-0.330528	1.41014	-0.165414	-0.033552	0.738749	1.11784	-1.15525	-0.197375	0.204396	-0.857607	-0.198622	-0.180977	-0.460891	-0.487062	1.12075	0.546139	-0.50764	0.337835	0.527565	-0.492712	-0.295149	0.30778	-0.304647	-0.170449	0.714618	-0.287143	0.494004	-0.041297	0.037119	0.329383	-0.395751	0.040541	-0.728859	0.192834	0.189433	-0.663616	-0.13248	-0.118077	0.492903	0.468437	-0.248277	0.014146	-0.014834	-0.595352	0.015386	-0.092979	-0.549087	0.118396	-0.116251	0.263012	0.499407	-0.032212	-0.435087	-0.295599	0.438252	0.081163	-0.010502	0.628006	-0.539454	-0.060214	-0.182486	-0.001571	0.314589	-0.181831	0.319525	0.317775	0.035719	-0.337083	0.379308	0.188837	0.339169	-0.068437	-0.062714	0.115432	-0.041057	
sociales	-15.3945	4.77189	0.843777	-7.41371	9.96872	-1.22249	8.18318	4.13883	-0.72792	-0.615232	-4.14278	-0.0824719	-1.22621	0.836924	-1.66006	-1.13868	-2.16508	-0.844271	-0.549518	-1.00182	2.24592	-0.877599	0.462218	-0.383008	0.56233	-0.413721	1.77942	-0.26701	-0.07666	0.857561	1.37199	-1.43148	-0.139842	0.232754	-1.13212	-0.297158	-0.270919	-0.593417	-0.491978	1.3679	0.600504	-0.584865	0.323686	0.727016	-0.584388	-0.380459	0.411701	-0.403039	-0.299637	0.894413	-0.336731	0.577296	0.068389	0.0326049	0.430912	-0.48361	0.060448	-0.91864	0.211036	0.196794	-0.779958	-0.054864	-0.223651	0.631418	0.643024	-0.291058	0.029221	-0.006237	-0.69413	0.0023	-0.0848099	-0.713846	0.178253	-0.168597	0.317243	0.58354	-0.073351	-0.494343	-0.385689	0.517166	0.107551	0.02125	0.789188	-0.656057	-0.08225	-0.176488	-0.019065	0.466154	-0.268796	0.36331	0.411249	0.091918	-0.380691	0.432767	0.22636	0.439497	-0.073147	-0.071074	0.183667	0.010942	
la	-18.7608	5.43409	1.16417	-8.59685	11.5691	-1.06255	9.74854	4.97409	-0.692787	-0.726847	-5.00165	-0.227048	-1.35468	1.05937	-1.94798	-1.26848	-2.54903	-1.06606	-0.566731	-1.18814	2.5259	-1.03346	0.550882	-0.456207	0.648545	-0.502588	2.12007	-0.387424	-0.099457	0.954241	1.634	-1.71921	-0.101444	0.269319	-1.41987	-0.399675	-0.38299	-0.732347	-0.502776	1.6221	0.660695	-0.687649	0.316385	0.913191	-0.677691	-0.469601	0.509672	-0.48622	-0.40763	1.05539	-0.375387	0.653745	0.216954	0.0321489	0.541204	-0.557751	0.092615	-1.10996	0.223372	0.197792	-0.880477	0.021057	-0.333151	0.771895	0.823054	-0.313058	0.071361	-0.017804	-0.779858	-0.002476	-0.0819349	-0.856122	0.252284	-0.235301	0.389051	0.636522	-0.121993	-0.528488	-0.447975	0.586807	0.108705	0.079198	0.923771	-0.752869	-0.092307	-0.165895	-0.030149	0.597364	-0.336758	0.402721	0.481426	0.136127	-0.4271	0.444395	0.253308	0.555912	-0.068918	-0.06946	0.253161	0.062658	
sociales	-21.6508	6.12832	1.23946	-9.60667	13.0578	-1.46499	10.8881	5.71694	-0.826408	-0.854139	-5.6626	-0.163289	-1.59383	1.23198	-2.20049	-1.45959	-2.92507	-1.25756	-0.609048	-1.39659	2.92606	-1.25693	0.655772	-0.512789	0.76237	-0.600547	2.50421	-0.507064	-0.11185	1.07716	1.8841	-2.00269	-0.0842211	0.316827	-1.7188	-0.493638	-0.494962	-0.817308	-0.544324	1.91109	0.765176	-0.776094	0.363007	1.09755	-0.774013	-0.569591	0.611176	-0.585977	-0.52727	1.23669	-0.427443	0.732304	0.294599	0.0257719	0.646304	-0.615446	0.146716	-1.31223	0.218248	0.21197	-0.969779	0.146754	-0.438174	0.930104	1.00556	-0.339423	0.076423	-0.004718	-0.871305	-0.042664	-0.0873719	-1.00499	0.311134	-0.253233	0.419022	0.727947	-0.176528	-0.54513	-0.556984	0.640739	0.142956	0.112806	1.07699	-0.843194	-0.116377	-0.142377	-0.022569	0.727962	-0.413002	0.404365	0.558845	0.172108	-0.468549	0.505846	0.249479	0.62565	-0.048897	-0.088397	0.293024	0.109237	
municipio	-24.5338	6.86952	1.33774	-10.6123	14.5759	-1.87392	12.037	6.44897	-1.00417	-1.02462	-6.2864	-0.0969829	-1.81445	1.38982	-2.50525	-1.68199	-3.23214	-1.43132	-0.719765	-1.59548	3.32914	-1.44736	0.72668	-0.57137	0.855769	-0.692908	2.75097	-0.553512	-0.105527	1.21585	2.04233	-2.22889	-0.145597	0.36516	-1.8683	-0.556748	-0.513186	-0.886466	-0.695251	2.16797	0.862273	-0.901426	0.442469	1.16043	-0.897169	-0.630257	0.665323	-0.63004	-0.499449	1.36509	-0.454449	0.823339	0.278822	0.0122819	0.726805	-0.652958	0.176128	-1.45723	0.24528	0.263525	-1.08498	0.135295	-0.434365	1.02314	1.09507	-0.383094	0.083506	-0.024816	-0.998029	-0.044946	-0.13054	-1.07236	0.335337	-0.273864	0.438694	0.800421	-0.18754	-0.588824	-0.596728	0.711223	0.146249	0.133734	1.15778	-0.934221	-0.123738	-0.163928	-0.006528	0.748014	-0.406119	0.441209	0.572737	0.139891	-0.534865	0.55709	0.251561	0.677783	-0.034238	-0.09555	0.28616	0.074351	
apertura	-2.68199	-0.049441	0.788955	-0.833596	0.848842	0.834652	1.29567	0.190549	-0.015504	0.063641	-0.524424	-0.502112	-0.059919	0.199613	-0.316908	-0.103236	-0.149874	-0.178861	0.205032	0.100416	-0.111606	-0.098597	0.053589	-0.249391	-0.073298	0.086418	0.28989	0.140876	-0.169834	0.043525	0.095927	-0.128954	-0.034494	0.014941	0.048946	-0.228956	0.064637	-0.133678	-0.021798	0.076146	0.018257	-0.07848	0.035698	0.056292	-0.104262	-0.02649	-0.065616	0.033234	0.007801	0.220949	-0.110733	0.025237	-0.001672	-0.04515	0.07365	-0.03034	-0.059895	-0.149474	-0.021914	0.035071	-0.18281	-0.031576	0.001774	0.032284	0.034241	-0.043642	-0.030808	0.027155	0.058969	-0.038259	0.017794	-0.122708	0.033372	-0.086257	-0.04083	0.04487	0.031813	-0.055469	0.080185	0.032078	-0.059901	0.073364	0.009925	-0.048771	-0.061591	-0.06186	6.50007e-05	0.022034	-0.012336	0.086474	0.037253	0.005068	0.005915	0.06101	0.002136	-0.00436	-0.028399	-0.035834	-0.024606	-0.024853	
1935	-5.64452	0.502981	1.69098	-1.74431	1.97378	1.37196	2.97714	0.106776	-0.497288	-0.17821	-1.07552	-0.44315	-0.055571	0.333407	-0.582452	-0.126077	-0.548781	-0.363041	0.723198	0.313802	-0.262897	-0.259966	0.140958	-0.612968	-0.174563	0.50688	0.46736	0.327255	-0.336378	-0.035978	0.219333	-0.056093	0.017124	-0.06367	0.070098	-0.302569	0.12639	-0.231876	-0.00414599	0.139014	-0.038977	0.00822401	0.06731	0.053512	-0.03397	-0.225282	-0.139571	0.035072	-0.022152	0.505263	-0.148794	-0.033987	0.00346301	-0.214952	-0.019096	-0.117961	-0.089059	-0.235671	-0.047171	-0.037877	-0.331946	-0.065106	-0.113885	0.06347	0.184091	-0.210609	-0.085738	0.175785	0.031023	-0.126496	0.026522	-0.284173	0.119691	-0.194731	-0.154204	0.132644	0.046764	-0.052203	0.259438	0.023214	-0.239289	0.21381	0.089821	-0.060231	0.00802201	-0.16812	-0.047986	0.063394	-0.023195	0.100204	0.041301	-0.013335	0.079526	0.09671	0.01064	-0.062637	-0.016708	-0.082289	-0.070446	-0.060286	
la	-8.60581	1.05776	2.59779	-2.6467	3.09815	1.91676	4.65567	0.0221629	-0.971088	-0.426614	-1.63127	-0.376346	-0.046078	0.475467	-0.844314	-0.133761	-0.928287	-0.552496	1.25072	0.49865	-0.417194	-0.431492	0.240188	-0.99652	-0.268742	0.921668	0.616197	0.494816	-0.482611	-0.137613	0.350585	0.00527002	0.049607	-0.134074	0.078015	-0.380163	0.166014	-0.336478	0.00762402	0.208928	-0.090385	0.069369	0.10577	0.037456	0.034695	-0.427906	-0.219476	0.052121	-0.03091	0.770763	-0.175923	-0.100054	0.047477	-0.380696	-0.103079	-0.191864	-0.105963	-0.323404	-0.078294	-0.117188	-0.465259	-0.100331	-0.23347	0.096618	0.339384	-0.356795	-0.113603	0.304251	0.016127	-0.206423	0.029956	-0.423155	0.220184	-0.317563	-0.250001	0.189267	0.054212	-0.023826	0.466495	0.005077	-0.443911	0.380452	0.143118	-0.0519	0.089614	-0.269785	-0.089627	0.084399	-0.015051	0.10956	0.022052	-0.043728	0.150336	0.090579	0.00856899	-0.104827	0.00392199	-0.11877	-0.115027	-0.096002	
